        Vehicle ID:	p1B3CC4FB0AN22533
      Max. Payload:	1.53 tons

        Vehicle ID:	p15GGE2711D109262
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2006/7/27
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p15GGE2711E109274
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2016/1/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p15GGE27129109169
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2010/3/11
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i15GGE2712D109249
        Make/Model:	Dodge Journey
   Last Inspection:	2010/12/27
    Current Status:	m

        Vehicle ID:	c15GGE2712D109260
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2017/12/15
    Current Status:	m
      Max. Payload:	3.82 tons

        Vehicle ID:	c15GGE2713B109226
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2013/2/16
    Current Status:	a
      Max. Payload:	2.88 tons

        Vehicle ID:	c15GGE2713B109226
        Make/Model:	Ford  Super Duty 450 XL
   Last Inspection:	2012/2/2
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	p15GGE2714E109301
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2008/9/14
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i15GGE2715A109180
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/12/8
    Current Status:	a

        Vehicle ID:	p15GGE2715B109226
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2009/2/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p15GGE2715D109262
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2012/11/21
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i15GGE2715E109274
        Make/Model:	Ford  Mustang
   Last Inspection:	2017/12/6
    Current Status:	s

        Vehicle ID:	i15GGE2715E109274
        Make/Model:	Chevrolet Impala
   Last Inspection:	2013/7/15
    Current Status:	s

        Vehicle ID:	c15GGE2716B109217
        Make/Model:	Ford  F 150
   Last Inspection:	2006/5/9
    Current Status:	s
      Max. Payload:	3.04 tons

        Vehicle ID:	c15GGE2716B109227
        Make/Model:	Ford  F 250
   Last Inspection:	2007/1/27
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c15GGE27178109165
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2016/12/10
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i15GGE2717B109227
        Make/Model:	Dodge Demon
   Last Inspection:	2013/10/9
    Current Status:	s

        Vehicle ID:	i15GGE2717D109261
        Make/Model:	Dodge Demon
   Last Inspection:	2015/2/1
    Current Status:	s

        Vehicle ID:	c15GGE27189109171
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2014/12/4
    Current Status:	a
      Max. Payload:	2.88 tons

        Vehicle ID:	p15GGE2718D109260
        Make/Model:	Temsa TS45
   Last Inspection:	2008/5/21
    Current Status:	a
   Max. Passengers:	56

        Vehicle ID:	c15GGE2719A109180
        Make/Model:	Ford  F 250
   Last Inspection:	2012/2/14
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	p15GGE271X9109169
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2008/5/16
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c192421FADP3FEXHL
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/11/27
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1944A8F5XEA00458
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/4/25
    Current Status:	m
      Max. Payload:	1.53 tons

        Vehicle ID:	i194YA42741A01475
        Make/Model:	Chevrolet Impala
   Last Inspection:	2015/1/10
    Current Status:	m

        Vehicle ID:	i19MUA56653A02265
        Make/Model:	Dodge Demon
   Last Inspection:	2014/2/18
    Current Status:	s

        Vehicle ID:	c19UDE2F33HA01665
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2017/12/18
    Current Status:	m
      Max. Payload:	2.88 tons

        Vehicle ID:	i19UDE2F35HA01308
        Make/Model:	Chevrolet Impala
   Last Inspection:	2009/2/24
    Current Status:	s

        Vehicle ID:	i19UDE2F70HA01513
        Make/Model:	Chevrolet Impala
   Last Inspection:	2011/7/2
    Current Status:	s

        Vehicle ID:	p19UDE2F75GA00669
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2015/7/11
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p19UDE2F75GA02223
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2009/5/15
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	c19UUA56192A03577
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2013/6/1
    Current Status:	a
      Max. Payload:	2.88 tons

        Vehicle ID:	p19UUA56256A07737
        Make/Model:	Freightliner CT Coachworks
   Last Inspection:	2015/12/24
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	i19UUA5642XA01012
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/11/25
    Current Status:	s

        Vehicle ID:	i19UUA5642XA01934
        Make/Model:	Ford  Mustang
   Last Inspection:	2012/4/13
    Current Status:	s

        Vehicle ID:	i19UUA5643XA01020
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/1/22
    Current Status:	s

        Vehicle ID:	p19UUA5644XA04559
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/6/4
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c19UUA5645XA03136
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/12/24
    Current Status:	m
      Max. Payload:	1.53 tons

        Vehicle ID:	i19UUA5646XA00902
        Make/Model:	Ford  Mustang
   Last Inspection:	2008/3/12
    Current Status:	m

        Vehicle ID:	p19UUA5647XA01257
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/7/4
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c19UUA5647XA02186
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2010/10/3
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p19UUA5648XA03813
        Make/Model:	Temsa TS45
   Last Inspection:	2017/1/13
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	i19UUA5649XA03106
        Make/Model:	Ford  Mustang
   Last Inspection:	2014/9/15
    Current Status:	s

        Vehicle ID:	c19UUA5649XA04629
        Make/Model:	Ford  F 250
   Last Inspection:	2015/7/24
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i19UUA5650XA01408
        Make/Model:	Chevrolet Impala
   Last Inspection:	2008/8/17
    Current Status:	s

        Vehicle ID:	p19UUA56601A01339
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2009/9/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p19UUA56601A01483
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2017/12/5
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	c19UUA56603A01343
        Make/Model:	Ford  F 250
   Last Inspection:	2008/9/14
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p19UUA56603A03149
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2017/9/17
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	i19UUA56603A06162
        Make/Model:	Ford  Mustang
   Last Inspection:	2013/6/20
    Current Status:	a

        Vehicle ID:	p19UUA56603A06271
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2014/2/27
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	i19UUA5660YA00145
        Make/Model:	Dodge Demon
   Last Inspection:	2010/11/16
    Current Status:	s

        Vehicle ID:	p19UUA5660YA06412
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/5/18
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p19UUA5660YA06588
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2016/6/27
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c19UUA56611A02588
        Make/Model:	Ford  F 250
   Last Inspection:	2017/11/5
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i19UUA5661YA00495
        Make/Model:	Ford  Mustang
   Last Inspection:	2009/10/2
    Current Status:	s

        Vehicle ID:	i19UUA5661YA04081
        Make/Model:	Dodge Charger
   Last Inspection:	2007/2/4
    Current Status:	s

        Vehicle ID:	c19UUA5661YA06663
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2016/4/9
    Current Status:	a
      Max. Payload:	2.88 tons

        Vehicle ID:	i19UUA56621A02689
        Make/Model:	Dodge Demon
   Last Inspection:	2012/2/16
    Current Status:	s

        Vehicle ID:	c19UUA56621A02689
        Make/Model:	Ford  F 250
   Last Inspection:	2007/12/18
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	c19UUA56622A00978
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2013/8/1
    Current Status:	a
      Max. Payload:	3.82 tons

        Vehicle ID:	p19UUA56631A02977
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2007/8/2
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c19UUA56632A03848
        Make/Model:	Ford  F 250
   Last Inspection:	2013/3/28
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c19UUA56632A04270
        Make/Model:	Ford  F 250
   Last Inspection:	2012/3/1
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i19UUA56633A05715
        Make/Model:	Dodge Demon
   Last Inspection:	2011/7/18
    Current Status:	s

        Vehicle ID:	c19UUA56633A07430
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2012/1/20
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p19UUA56641A02272
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2011/7/1
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p19UUA56643A00157
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2006/12/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c19UUA56643A01527
        Make/Model:	Ford  F 250
   Last Inspection:	2006/8/27
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i19UUA56643A06232
        Make/Model:	Dodge Demon
   Last Inspection:	2008/6/18
    Current Status:	s

        Vehicle ID:	p19UUA56651A02217
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2008/9/10
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i19UUA56652A03626
        Make/Model:	Dodge Charger
   Last Inspection:	2008/4/23
    Current Status:	s

        Vehicle ID:	c19UUA5665YA00420
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2012/10/2
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p19UUA5665YA04039
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2013/11/3
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p19UUA56662A02779
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/5/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c19UUA56663A01572
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2015/6/23
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c19UUA5666YA03803
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2014/4/16
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p19UUA5666YA04586
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2015/9/7
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i19UUA56671A00920
        Make/Model:	Ford  Mustang
   Last Inspection:	2008/12/21
    Current Status:	a

        Vehicle ID:	i19UUA56671A02145
        Make/Model:	Ford  Mustang
   Last Inspection:	2014/7/1
    Current Status:	a

        Vehicle ID:	c19UUA56672A00193
        Make/Model:	Ford  F 250
   Last Inspection:	2015/6/6
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c19UUA5667YA04873
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2014/4/28
    Current Status:	s
      Max. Payload:	2.04 tons

        Vehicle ID:	i19UUA56682A01427
        Make/Model:	Dodge Demon
   Last Inspection:	2007/5/13
    Current Status:	s

        Vehicle ID:	p19UUA56682A01583
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/9/7
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p19UUA56682A01804
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2009/10/11
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i19UUA56683A09155
        Make/Model:	Dodge Demon
   Last Inspection:	2009/10/14
    Current Status:	a

        Vehicle ID:	c19UUA5668YA00421
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2013/5/10
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	p19UUA5668YA00693
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/8/24
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p19UUA5668YA01064
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2015/10/14
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	p19UUA5668YA05455
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/8/8
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c19UUA56691A02086
        Make/Model:	Ford  F 250
   Last Inspection:	2007/6/6
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c19UUA56693A06675
        Make/Model:	Ford  F 250
   Last Inspection:	2009/6/19
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p19UUA566X3A00177
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2011/10/6
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i19UUA566X3A01173
        Make/Model:	Dodge Demon
   Last Inspection:	2016/5/17
    Current Status:	s

        Vehicle ID:	c19UUA56721A00744
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2015/7/12
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i19UUA56733A07789
        Make/Model:	Ford  EcoSport
   Last Inspection:	2015/9/7
    Current Status:	s

        Vehicle ID:	c19UUA56743A00268
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2007/12/17
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p19UUA5675YA03885
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2016/6/28
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i19UUA56763A06997
        Make/Model:	Ford  Mustang
   Last Inspection:	2016/5/1
    Current Status:	s

        Vehicle ID:	i19UUA56763A07041
        Make/Model:	Ford  Explorer
   Last Inspection:	2015/1/4
    Current Status:	s

        Vehicle ID:	c19UUA56773A00918
        Make/Model:	Ford  F 250
   Last Inspection:	2017/5/28
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c19UUA56773A07788
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2011/3/20
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p19UUA56791A03010
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/5/27
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c19UUA56803A02142
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2016/12/28
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c19UUA56803A08884
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2008/4/5
    Current Status:	a
      Max. Payload:	2.33 tons

        Vehicle ID:	p19UUA56813A00299
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2012/5/1
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	p19UUA56813A06025
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2014/2/7
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p19UUA56822A06127
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2017/3/22
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p19UUA56832A01438
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2012/10/21
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	c19UUA56843A07526
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2017/7/21
    Current Status:	m
      Max. Payload:	2.33 tons

        Vehicle ID:	i19UUA56883A07142
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2012/9/1
    Current Status:	s

        Vehicle ID:	c19UUA56893A00224
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2016/7/16
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	c19UUA56893A08362
        Make/Model:	Ford  F 250
   Last Inspection:	2013/11/28
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p19UUA5689ZA04611
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/12/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i19UUA56922A00156
        Make/Model:	Dodge Demon
   Last Inspection:	2011/6/3
    Current Status:	m

        Vehicle ID:	i19UUA56923A01441
        Make/Model:	Ford  Mustang
   Last Inspection:	2013/9/14
    Current Status:	s

        Vehicle ID:	c19UUA56932A02408
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2013/11/24
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	c19UUA65526A04273
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2015/10/16
    Current Status:	s
      Max. Payload:	2.04 tons

        Vehicle ID:	c19UUA65526A05002
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2009/7/18
    Current Status:	m
      Max. Payload:	2.04 tons

        Vehicle ID:	c19UUA65534A06881
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/7/7
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i19UUA65555A05330
        Make/Model:	Ford  Mustang
   Last Inspection:	2009/8/21
    Current Status:	s

        Vehicle ID:	p19UUA65565A07601
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2007/1/4
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c19UUA65566A04270
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2007/11/5
    Current Status:	s
      Max. Payload:	2.04 tons

        Vehicle ID:	i19UUA65584A03308
        Make/Model:	Ford  EcoSport
   Last Inspection:	2009/7/27
